question_text,category,difficulty,correct_answer,option_1,option_2,option_3,option_4
Đại lượng nào đo lượng chất trong vật?,Science,medium,option_2,Vùng cực,Vùng nhiệt đới,Vùng ôn đới,Vùng biển
Hệ đơn vị đo lường nào phổ biến nhất trong khoa học?,Science,medium,option_1,Hồng cầu,Tế bào da,Bạch cầu,Tế bào xương
Người nào được mệnh danh là ""Cha đẻ của Hóa học Hiện đại""?,Science,medium,option_1,Nitơ,Oxy,Carbon dioxide,Hydro
Kính hiển vi là công cụ để quan sát đối tượng nào?,Science,medium,option_2,Oxy,Nitơ,Carbon dioxide,Argon
Khí nào là sản phẩm chính của quá trình quang hợp?,Science,medium,option_3,Tế bào biểu mô,Tế bào hồng cầu,Tế bào thần kinh,Tế bào cơ
Thiết bị nào đo cường độ dòng điện?,Science,medium,option_1,Albert Einstein,Isaac Newton,Galileo Galilei,Marie Curie
Loại hạt nào cấu tạo nên nguyên tử?,Science,medium,option_2,Tầng đối lưu,Tầng bình lưu,Tầng trung lưu,Tầng nhiệt
Đơn vị đo nhiệt độ nào phổ biến trong hệ đo lường quốc tế?,Science,medium,option_2,Ribosome,Ty thể,Nhân tế bào,Bộ máy Golgi
Nhà khoa học nào được coi là người sáng lập lý thuyết tiến hóa?,Science,medium,option_2,Helium,Hydro,Liti,Oxy
Tế bào nào trong cơ thể có nhiệm vụ mang oxy?,Science,medium,option_3,Louis Pasteur,Alexander Fleming,Robert Hooke,Charles Darwin
Lực nào giữ các hành tinh di chuyển xung quanh Mặt Trời?,Science,medium,option_1,Ohm,Volt,Ampere,Watt
Trong toán học Pi là tỉ lệ giữa chu vi và đường kính của hình nào?,Science,medium,option_2,Phân bào,Di truyền,Phiên mã,Giải mã
Ai là nhà bác học người Ba Lan phát hiện ra nguyên tố phóng xạ?,Science,medium,option_2,Sắt,Canxi,Magiê,Natri
Chất nào là dẫn điện tốt nhất trong các vật liệu sau?,Science,medium,option_4,Nhiệt,Hóa,Điện,Sóng
Năng lượng được lưu trữ trong thực phẩm chủ yếu là dạng nào?,Science,medium,option_3,Vàng,Đồng,Sắt,Bạc
Đơn vị đo áp suất trong hệ đo lường quốc tế là gì?,Science,medium,option_1,Khối lượng,Trọng lực,Áp suất,Nhiệt độ
Chuyển động của chất lỏng bị ảnh hưởng bởi lực nào?,Science,medium,option_3,Hệ đo lường Anh,Hệ đo lường Pháp,Hệ đo lường SI,Hệ đo lường Mỹ
Nhà vật lý học người Anh nào đã phát hiện ra định luật vạn vật hấp dẫn?,Science,medium,option_1,Antoine Lavoisier,Dmitri Mendeleev,Niels Bohr,Marie Curie
Chất nào sau đây là một hợp chất?,Science,medium,option_2,Các hành tinh,Các tế bào nhỏ,Đá quý,Động vật lớn
Đơn vị nào đo lường cường độ ánh sáng?,Science,medium,option_1,Oxy,Cacbon dioxit,Nitơ,Khí metan
Hiện tượng nào là kết quả của sự gấp nếp các lớp đá ở lớp vỏ Trái Đất?,Science,medium,option_1,Ampe kế,Vôn kế,Ôm kế,Watt kế
Quá trình nào giúp các sinh vật tiêu hóa thức ăn để tạo năng lượng?,Science,medium,option_4,Electron,Proton,Neutron,Tất cả đều đúng
Nhà khoa học nào được mệnh danh là ""cha đẻ của di truyền học""?,Science,medium,option_3,Độ F,Độ C,Kelvin,Độ R
Phản ứng hóa học nào tạo ra nước?,Science,medium,option_3,Isaac Newton,Albert Einstein,Charles Darwin,Nikola Tesla
Đơn vị đo cường độ âm thanh là gì?,Science,medium,option_2,Tế bào thần kinh,Tế bào hồng cầu,Tế bào cơ,Tế bào mỡ
Trạng thái nào của vật chất có hình dạng và thể tích không đổi?,Science,medium,option_2,Lực điện,Lực hấp dẫn,Lực từ,Lực ma sát
Tế bào có thể sản xuất năng lượng ATP qua quá trình nào?,Science,medium,option_2,Hình vuông,Hình tròn,Hình tam giác,Hình chữ nhật
Động cơ nào có vai trò chuyển đổi điện năng thành cơ năng?,Science,medium,option_2,Albert Einstein,Marie Curie,Nikola Tesla,Dmitri Mendeleev
Nhóm động vật nào không có xương sống?,Science,medium,option_2,Nhôm,Đồng,Sắt,Gỗ
Nhân vật nào đã phát minh ra điện thoại?,Science,medium,option_1,Năng lượng hóa học,Năng lượng điện,Năng lượng cơ học,Năng lượng nhiệt
Các enzyme là loại chất gì?,Science,medium,option_1,Pascal,Kilogram,Newton,Watt
Phản ứng nào liên quan đến việc tách phân tử lớn thành phân tử nhỏ hơn?,Science,medium,option_2,Lực hấp dẫn,Lực ma sát,Lực căng bề mặt,Lực tĩnh điện
Mặt Trăng có ảnh hưởng lớn nhất lên điều gì trên Trái Đất?,Science,medium,option_2,Albert Einstein,Isaac Newton,Galileo Galilei,Michael Faraday
Thành phần nào không thể thiếu để cây cối quang hợp?,Science,medium,option_3,Natri,Oxy,Nước,Vàng
Nhà vật lý học người Ý nào đã phát minh ra kính thiên văn?,Science,medium,option_2,Lux,Candela,Kelvin,Volt
Loại đá nào hình thành do núi lửa phun trào?,Science,medium,option_3,Động đất,Núi lửa,Núi,Sóng thần
Tại sao nước biển có vị mặn?,Science,medium,option_4,Hô hấp,Quang hợp,Hấp thụ,Tiêu hóa
Ai là nhà khoa học phát hiện ra penicillin?,Science,medium,option_1,Gregor Mendel,Charles Darwin,Isaac Newton,Louis Pasteur
Nguyên tố nào có điểm nóng chảy cao nhất?,Science,hard,option_2,Carbon,Wolfram (Tungsten),Sắt,Vàng
Lượng nước biển nào chiếm khoảng bao nhiêu phần trăm trên tổng diện tích bề mặt Trái Đất?,Science,hard,option_2,50%,70%,80%,90%
Hạt cơ bản nào không có điện tích?,Science,hard,option_3,Electron,Proton,Neutron,Photon
Đơn vị đo lường cường độ âm thanh là gì?,Science,hard,option_1,Decibel,Pascal,Hertz,Joule
Hóa học hữu cơ chủ yếu nghiên cứu các hợp chất của nguyên tố nào?,Science,hard,option_3,Nitơ,Hydro,Carbon,Oxy
Hạt nhân của nguyên tử chứa những hạt nào?,Science,hard,option_2,Electron và Proton,Proton và Neutron,Electron và Neutron,Electron và Proton
Động vật nào là một trong những sinh vật cổ đại nhất còn tồn tại trên Trái Đất?,Science,hard,option_3,Cá mập,Cá sấu,Rùa,Cá voi
Vật lý lượng tử bắt đầu với khám phá nào?,Science,hard,option_2,Phân rã phóng xạ,Hiệu ứng quang điện,Lý thuyết tương đối,Hạt nhân nguyên tử
Áp suất khí quyển tiêu chuẩn tại mực nước biển là bao nhiêu?,Science,hard,option_1,760 mmHg,1013 mmHg,1000 mmHg,1500 mmHg
Loại đá nào được hình thành qua quá trình biến chất?,Science,hard,option_4,Đá trầm tích,Đá phun trào,Đá mác ma,Đá biến chất
Nhà khoa học nào phát hiện ra electron?,Science,hard,option_2,Niels Bohr,J.J. Thomson,Albert Einstein,James Chadwick
Cơ thể người trưởng thành có bao nhiêu xương?,Science,hard,option_2,200,206,210,220
Phân tử nào là thành phần chính của lớp màng tế bào?,Science,hard,option_2,Protein,Lipid,Carbohydrate,Nucleic acid
Đơn vị đo điện trở là gì?,Science,hard,option_3,Ampe,Volt,Ôm,Watt
Sự phân chia của tế bào sinh dục để tạo ra tế bào giao tử gọi là gì?,Science,hard,option_3,Nguyên phân,Phân bào,Giảm phân,Thụ tinh
Nguyên tố nào chiếm tỷ lệ lớn nhất trong vỏ Trái Đất?,Science,hard,option_4,Sắt,Silic,Nhôm,Oxy
Loài động vật có hệ thần kinh phát triển nhất trong giới động vật?,Science,hard,option_3,Chimpanzee,Cá voi,Con người,Cá heo
Nhà vật lý nào đã phát triển mô hình nguyên tử có các quỹ đạo điện tử?,Science,hard,option_2,J.J. Thomson,Niels Bohr,Ernest Rutherford,James Chadwick
Cơ thể người có bao nhiêu loại mô cơ bản?,Science,hard,option_3,2,3,4,5
Nguyên tố nào có mật độ cao nhất?,Science,hard,option_2,Vàng,Osmium,Bạc,Đồng
Hành tinh nào có nhiều vệ tinh tự nhiên nhất trong hệ Mặt Trời?,Science,hard,option_3,Trái Đất,Sao Thổ,Sao Mộc,Sao Hỏa
Sự kiện nào đã kết thúc kỷ nguyên khủng long?,Science,hard,option_1,Va chạm thiên thạch,Biến đổi khí hậu,Núi lửa phun trào,Nước biển dâng
Chất nào được xem là “chất mang năng lượng” trong tế bào?,Science,hard,option_2,Glucose,ATP,DNA,Enzyme
Phần nào của não bộ chịu trách nhiệm về ngôn ngữ và tư duy?,Science,hard,option_2,Tiểu não,Vỏ não,Hồi hải mã,Thùy trán
Nhà khoa học nào được coi là “cha đẻ” của hóa học hiện đại?,Science,hard,option_1,Antoine Lavoisier,Dmitri Mendeleev,Robert Hooke,Louis Pasteur
Lý thuyết nào giải thích hiện tượng không thể đo đồng thời vị trí và động lượng của một hạt?,Science,hard,option_1,Nguyên lý bất định Heisenberg,Hiệu ứng Doppler,Lý thuyết tương đối,Hiệu ứng quang điện
Loài động vật có số lượng chân nhiều nhất hiện nay là gì?,Science,hard,option_2,Con rết,Con cuốn chiếu,Nhện,Châu chấu
Quá trình nào sản sinh ra năng lượng trong lõi Mặt Trời?,Science,hard,option_1,Phản ứng hạt nhân,Phân rã phóng xạ,Đốt cháy,Tách hạt nhân
Đơn vị đo tần số là gì?,Science,hard,option_2,Ampe,Hertz,Volt,Joule
Chất nào sau đây có khả năng truyền nhiệt tốt nhất?,Science,hard,option_3,Không khí,Nước,Đồng,Gỗ
Loại tế bào nào trong máu có khả năng tiêu diệt vi khuẩn và vi rút?,Science,hard,option_3,Hồng cầu,Tiểu cầu,Bạch cầu,Tế bào da
Thành phần chính của khí tự nhiên là gì?,Science,hard,option_3,Nitơ,Oxy,Metan,Carbon dioxide
Lớp nào trong khí quyển chứa tầng ozone?,Science,hard,option_2,Tầng đối lưu,Tầng bình lưu,Tầng trung lưu,Tầng nhiệt
Quá trình nào giúp cây chuyển đổi năng lượng ánh sáng thành năng lượng hóa học?,Science,hard,option_2,Hô hấp,Quang hợp,Trao đổi chất,Tiêu hóa
Ai là người phát hiện ra phóng xạ?,Science,hard,option_4,Albert Einstein,Antoine Lavoisier,Marie Curie,Henri Becquerel
Nguyên tố nào được dùng trong sản xuất bóng đèn huỳnh quang?,Science,hard,option_1,Thủy ngân,Chì,Sắt,Đồng
Phần lớn năng lượng của Mặt Trời được truyền đến Trái Đất dưới dạng nào?,Science,hard,option_3,Bức xạ hồng ngoại,Bức xạ tử ngoại,Ánh sáng khả kiến,Năng lượng điện từ
Đơn vị nào dùng để đo công suất điện?,Science,hard,option_3,Ôm,Vôn,Watt,Ampe
Trong các loại đá sau loại nào thường chứa hóa thạch?,Science,hard,option_1,Đá trầm tích,Đá phun trào,Đá biến chất,Đá mác ma
Nguyên tố nào có số nguyên tử là 92 và được sử dụng làm nhiên liệu hạt nhân?,Science,hard,option_2,Plutonium,Uranium,Thorium,Californium
Phát biểu nào mô tả đúng tính chất của sóng âm?,Science,hard,option_2,Sóng âm là sóng ngang,Sóng âm là sóng dọc,Sóng âm có thể lan truyền qua chân không,Sóng âm chỉ có trong không khí
Tế bào nào trong cơ thể có khả năng sinh sản các tế bào con?,Science,hard,option_2,Tế bào sinh dục,Tế bào gốc,Tế bào mô,Tế bào xương
Phát minh nào đã thay đổi phương thức giao tiếp của loài người?,Science,hard,option_2,Radio,Điện thoại,Máy in,Máy tính
Phần nào của mắt giúp điều chỉnh lượng ánh sáng đi vào mắt?,Science,hard,option_1,Mống mắt,Thủy tinh thể,Giác mạc,Tận cùng mắt
Năng lượng hạt nhân được giải phóng trong các phản ứng gì?,Science,hard,option_1,Phản ứng phân hạch,Phản ứng tổng hợp,Phản ứng hóa học,Phản ứng oxi hóa
Vật liệu nào được sử dụng làm vật liệu chế tạo tàu vũ trụ?,Science,hard,option_3,Nhôm,Thép không gỉ,Composite,Gỗ
Dung dịch nào được sử dụng để điều trị ngộ độc khí carbon monoxide?,Science,hard,option_2,Natri clorua,Oxy,H2O2,Axit acetic
Vi khuẩn nào gây ra bệnh lao?,Science,hard,option_2,Bacillus anthracis,Mycobacterium tuberculosis,Escherichia coli,Staphylococcus aureus
Những tế bào nào có chức năng truyền tải thông tin trong cơ thể?,Science,hard,option_2,Tế bào da,Tế bào thần kinh,Tế bào cơ,Tế bào mỡ
Hiện tượng nào sau đây xảy ra khi ánh sáng mặt trời chiếu vào mặt nước?,Science,hard,option_2,Phản xạ,Khúc xạ,Tán xạ,Nhiệt đới
Blockchain là gì?,Blockchain,easy,option_3,Cơ sở dữ liệu,Công nghệ lưu trữ,Sổ cái phân tán,Hệ điều hành
Web3 là viết tắt của gì?,Blockchain,easy,option_1,Web 3.0,World Wide Web 3,Web Decentralized,Web Modern
Loại tiền điện tử đầu tiên được phát triển là gì?,Blockchain,easy,option_2,Ethereum,Bitcoin,Dogecoin,Ripple
Smart contract được triển khai trên blockchain nào phổ biến nhất?,Blockchain,easy,option_3,Solana,Cardano,Ethereum,Binance Smart Chain
DApp là viết tắt của gì?,Blockchain,easy,option_1,Decentralized App,Distributed App,Digital App,Development App
Solidity là gì?,Blockchain,easy,option_1,Ngôn ngữ lập trình,Loại tiền điện tử,Một blockchain,Công cụ bảo mật
Địa chỉ ví blockchain thường được viết dưới dạng gì?,Blockchain,easy,option_2,Số điện thoại,Hash,Email,Tên miền
Ethereum sử dụng cơ chế đồng thuận nào?,Blockchain,easy,option_2,Proof of Stake,Proof of Work,Delegated Proof of Stake,Byzantine Fault Tolerance
Token ERC-20 trên Ethereum là gì?,Blockchain,easy,option_2,Loại stablecoin,Tiêu chuẩn token,Loại ví điện tử,Giao dịch
Cơ chế đồng thuận giúp đảm bảo điều gì trong blockchain?,Blockchain,easy,option_3,Tính phi tập trung,Tính bảo mật,Tính nhất quán,Tính nhanh chóng
Công nghệ blockchain ra đời năm nào?,Blockchain,easy,option_2,2005,2008,2010,2015
NFT viết tắt của cụm từ gì?,Blockchain,easy,option_1,Non-Fungible Token,Non-Functional Token,New Finance Token,Non-Fixed Token
Token ERC-721 chủ yếu được dùng cho gì?,Blockchain,easy,option_2,Lưu trữ dữ liệu,Tài sản số duy nhất,Giao dịch thông thường,Phân quyền
Gas fee trên blockchain là gì?,Blockchain,easy,option_1,Chi phí giao dịch,Thuế chính phủ,Phí lưu trữ,Phí sử dụng API
Ai là người sáng lập Bitcoin?,Blockchain,easy,option_2,Vitalik Buterin,Satoshi Nakamoto,Elon Musk,Charlie Lee
Stablecoin được thiết kế để làm gì?,Blockchain,easy,option_1,Giữ giá ổn định,Tăng giá trị,Lưu trữ tạm thời,Đầu cơ
Công cụ phổ biến để phát triển hợp đồng thông minh trên Ethereum?,Blockchain,easy,option_4,Hardhat,Ganache,Remix,Tất cả đáp án
Block trong blockchain chứa gì?,Blockchain,easy,option_4,Dữ liệu giao dịch,Hash của block trước,Hash hiện tại,Tất cả đáp án
Khóa riêng (private key) dùng để làm gì?,Blockchain,easy,option_3,Tạo giao dịch,Mở khóa ví,Cả hai đáp án trên,Lưu trữ dữ liệu
Hợp đồng thông minh chạy tự động dựa trên điều kiện gì?,Blockchain,easy,option_3,Do người dùng kích hoạt,Do lập trình sẵn,Cả hai đáp án trên,Do blockchain quyết định
Blockchain có thể được phân loại thành mấy loại chính?,Blockchain,easy,option_2,2,3,4,5
Blockchain công khai (public blockchain) có đặc điểm gì?,Blockchain,easy,option_1,Ai cũng có thể tham gia,Chỉ dành cho người được cấp quyền,Không thay đổi dữ liệu,Không có phí giao dịch
Private blockchain thường được sử dụng trong lĩnh vực nào?,Blockchain,easy,option_4,Ngân hàng,Chính phủ,Doanh nghiệp,Cả ba đáp án trên
Hợp đồng thông minh có thể làm gì?,Blockchain,easy,option_4,Tự động hóa giao dịch,Xác minh hợp đồng,Lưu trữ dữ liệu,Cả ba đáp án trên
Thời gian tạo block trung bình trên Bitcoin là bao lâu?,Blockchain,easy,option_2,10 giây,10 phút,1 giờ,24 giờ
Một node trong blockchain là gì?,Blockchain,easy,option_1,Máy tính kết nối,Dữ liệu giao dịch,Địa chỉ ví,Một block
Ethereum chuyển từ Proof of Work sang Proof of Stake vào năm nào?,Blockchain,easy,option_3,2020,2021,2022,2023
Ví Metamask thường dùng cho blockchain nào?,Blockchain,easy,option_2,Bitcoin,Ethereum,Solana,Cardano
Từ khóa “pragma” trong Solidity dùng để làm gì?,Blockchain,easy,option_2,Khai báo biến,Khai báo phiên bản,Gọi hàm,Tạo giao dịch
Token BEP-20 thuộc blockchain nào?,Blockchain,easy,option_2,Ethereum,Binance Smart Chain,Solana,Avalanche
Khóa công khai (public key) dùng để làm gì?,Blockchain,easy,option_2,Mở khóa ví,Xác minh giao dịch,Lưu trữ token,Tạo block
Khối đầu tiên của một blockchain gọi là gì?,Blockchain,easy,option_2,Main Block,Genesis Block,Initial Block,Root Block
Blockchain nào có phí giao dịch thấp nhất hiện nay?,Blockchain,easy,option_2,Ethereum,Solana,Cardano,Binance Smart Chain
DAO là viết tắt của gì trong blockchain?,Blockchain,easy,option_1,Decentralized Autonomous Organization,Data Access Object,Decentralized Algorithm Organization,Digital Asset Operation
Web3 chủ yếu tập trung vào khái niệm gì?,Blockchain,easy,option_1,Internet phân quyền,Tăng tốc độ web,Cải thiện giao diện,Quản lý tập trung
Một giao dịch trong blockchain có thể bị hủy không?,Blockchain,easy,option_2,Có,Không,Tùy loại blockchain,Tùy vào gas fee
DeFi là gì?,Blockchain,easy,option_1,Tài chính phi tập trung,Nền tảng giao dịch,Loại token mới,Mạng blockchain
Ngôn ngữ nào sau đây không dùng để lập trình hợp đồng thông minh?,Blockchain,easy,option_4,Solidity,Rust,Python,PHP
Trong Web3 “wallet” thường được dùng để làm gì?,Blockchain,easy,option_4,Lưu trữ tài sản,Ký giao dịch,Xác minh danh tính,Cả ba đáp án trên
Cơ chế đồng thuận nào phổ biến trên Cardano?,Blockchain,easy,option_1,Proof of Stake,Proof of Work,Delegated Proof of Stake,Byzantine Fault Tolerance
Đặc điểm nào làm cho blockchain không thể thay đổi dữ liệu?,Blockchain,easy,option_4,Sử dụng hash,Phi tập trung,Cơ chế đồng thuận,Cả ba đáp án trên
Những gì có thể lưu trữ trên blockchain?,Blockchain,easy,option_4,Tiền điện tử,Dữ liệu y tế,Thông tin hợp đồng,Tất cả đáp án trên
Trong Solidity từ khóa “address” đại diện cho gì?,Blockchain,easy,option_1,Địa chỉ ví,Địa chỉ IP,Tên miền,Public key
Giao dịch trên blockchain được lưu trong cấu trúc gì?,Blockchain,easy,option_2,Array,Block,Tree,Map
Gas fee được tính bằng đơn vị nào trên Ethereum?,Blockchain,easy,option_1,Gwei,Ether,Wei,Sat
Blockchain có thể giải quyết vấn đề gì trong tài chính?,Blockchain,easy,option_4,Tính minh bạch,Giảm chi phí trung gian,Tăng tốc độ xử lý,Tất cả đáp án trên
Ai quản lý dữ liệu trên blockchain?,Blockchain,easy,option_3,Chính phủ,Cá nhân tham gia,Các node mạng,Không ai quản lý
Một ứng dụng phi tập trung (DApp) cần có gì để hoạt động?,Blockchain,easy,option_4,Blockchain backend,Smart contract,Frontend,Tất cả đáp án trên
Trong Ethereum EVM viết tắt của gì?,Blockchain,easy,option_1,Ethereum Virtual Machine,Ethereum Verification Module,Ethereum Virtual Management,Ethereum Value Machine
Tính phi tập trung của blockchain giúp đảm bảo điều gì?,Blockchain,easy,option_1,Không có điểm lỗi duy nhất,Tăng chi phí hoạt động,Giảm tốc độ giao dịch,Tăng sự phụ thuộc
Ưu điểm lớn nhất của Proof of Stake so với Proof of Work là gì?,Blockchain,medium,option_1,Tiết kiệm năng lượng,Tăng tốc độ giao dịch,Đảm bảo tính ẩn danh,Dễ triển khai
ERC-20 là tiêu chuẩn token dành cho blockchain nào?,Blockchain,medium,option_1,Ethereum,Binance Smart Chain,Solana,Avalanche
Nguyên tắc hoạt động chính của blockchain là gì?,Blockchain,medium,option_3,Lưu trữ tập trung,Sao chép dữ liệu,Đồng thuận phi tập trung,Quản lý bởi một tổ chức
Hash trong blockchain là gì?,Blockchain,medium,option_2,Một loại ví,Một hàm băm,Một block mới,Một giao dịch
Solidity hỗ trợ kiểu dữ liệu nào để lưu trữ số nguyên không dấu?,Blockchain,medium,option_1,uint,int,float,double
Tính năng nào của smart contract đảm bảo rằng nó tự động thực thi?,Blockchain,medium,option_2,Immutable,Self-executing,Transparent,Decentralized
Trong blockchain block chứa thông tin gì?,Blockchain,medium,option_4,Dữ liệu giao dịch,Hash của block trước,Timestamp,Tất cả đáp án trên
Lợi ích chính của DAO là gì?,Blockchain,medium,option_2,Tăng tốc giao dịch,Quản lý phi tập trung,Tăng bảo mật,Giảm chi phí hoạt động
Gas limit trong Ethereum là gì?,Blockchain,medium,option_2,Phí tối thiểu,Số lượng gas tối đa có thể sử dụng,Dung lượng block,Số lượng giao dịch tối đa
Phương thức trong Solidity có thể trả về nhiều giá trị không?,Blockchain,medium,option_1,Có,Không,Tùy loại dữ liệu,Chỉ với uint
Layer 2 trong blockchain dùng để làm gì?,Blockchain,medium,option_2,Lưu trữ dữ liệu,Tăng khả năng mở rộng,Giảm phí gas,Tăng tính minh bạch
Trong Proof of Stake “staking” có nghĩa là gì?,Blockchain,medium,option_2,Đào coin,Giữ coin để xác thực giao dịch,Tạo block mới,Lưu trữ dữ liệu
Tên miền “.eth” trong Ethereum được quản lý bởi dịch vụ nào?,Blockchain,medium,option_1,ENS,DNS,IPFS,ZK-Rollup
Thời gian xử lý trung bình của một giao dịch trên Solana là bao lâu?,Blockchain,medium,option_1,0.4 giây,1 phút,10 phút,1 giờ
Wrapped token (ví dụ WBTC) là gì?,Blockchain,medium,option_2,Token mới phát hành,Token đại diện cho coin khác,Token đa năng,Token phi tập trung
Rollup trong blockchain có tác dụng gì?,Blockchain,medium,option_4,Bảo mật dữ liệu,Tăng hiệu năng xử lý,Giảm phí giao dịch,Tất cả đáp án trên
Trong Solidity modifier dùng để làm gì?,Blockchain,medium,option_3,Khai báo biến,Gọi hàm,Kiểm tra điều kiện,Thay đổi giá trị
Công nghệ IPFS trong Web3 dùng để làm gì?,Blockchain,medium,option_1,Lưu trữ phi tập trung,Tăng tốc giao dịch,Xác minh danh tính,Tạo smart contract
Một block có thể chứa tối đa bao nhiêu giao dịch?,Blockchain,medium,option_2,Không giới hạn,Tùy thuộc vào kích thước block,100 giao dịch,"10,000 giao dịch"
Tại sao smart contract không thể chỉnh sửa sau khi triển khai?,Blockchain,medium,option_3,Tăng bảo mật,Tăng tính minh bạch,Do tính bất biến của blockchain,Để giảm chi phí
Trong blockchain nonce có vai trò gì?,Blockchain,medium,option_2,Xác minh chữ ký,Chống tấn công lặp lại,Tăng bảo mật block,Tạo địa chỉ mới
Hàm nào trong Solidity có thể giúp đảm bảo rằng phép toán không gây tràn số (overflow) khi cộng hai số?,Blockchain,medium,option_1,SafeMath.add(),add(),increment(),Math.add()
Tính năng nào của blockchain làm cho dữ liệu khó bị giả mạo?,Blockchain,medium,option_2,Phi tập trung,Bất biến,Ẩn danh,Độc lập
Hệ thống mạng nào phổ biến nhất dùng để kết nối các node trong blockchain?,Blockchain,medium,option_2,LAN,P2P,VPN,WAN
Đặc điểm nào giúp phân biệt token fungible và non-fungible?,Blockchain,medium,option_2,Tính ẩn danh,Tính duy nhất,Tính bảo mật,Tính minh bạch
Một lợi ích của Zero-Knowledge Proof trong blockchain là gì?,Blockchain,medium,option_2,Tiết kiệm chi phí,Không tiết lộ thông tin,Tăng kích thước block,Tăng tốc độ giao dịch
Trong Solidity cấu trúc dữ liệu nào được dùng để lưu key-value?,Blockchain,medium,option_2,Array,Mapping,Struct,Enum
Việc lưu trữ dữ liệu off-chain thường sử dụng công nghệ gì?,Blockchain,medium,option_1,IPFS,Blockchain,Database tập trung,Mạng VPN
Các giao thức Layer 2 như Optimistic Rollup có ưu điểm gì?,Blockchain,medium,option_2,Tăng khả năng bảo mật,Giảm phí gas,Tăng kích thước block,Tăng decentralization
Trong Web3 DApp là viết tắt của gì?,Blockchain,medium,option_1,Decentralized Application,Digital Application,Distributed Application,Dynamic Application
Ưu điểm chính của Interoperability trong blockchain là gì?,Blockchain,medium,option_3,Tăng bảo mật,Tăng tính minh bạch,Cho phép các blockchain tương tác,Tăng tốc độ xử lý
Stablecoin có vai trò gì trong hệ sinh thái crypto?,Blockchain,medium,option_2,Tăng bảo mật,Giảm rủi ro biến động giá,Tăng tốc độ giao dịch,Bảo mật tài sản
Trong Solidity constructor được dùng để làm gì?,Blockchain,medium,option_1,Khởi tạo giá trị ban đầu,Gọi hàm khác,Tạo biến mới,Xóa dữ liệu
Multisig wallet trong blockchain có ưu điểm gì?,Blockchain,medium,option_2,Giảm chi phí giao dịch,Tăng tính bảo mật,Tăng tốc độ xử lý,Bảo vệ tài sản khỏi hacker
Trong Proof of Work mục đích của mining là gì?,Blockchain,medium,option_4,Tạo coin mới,Xác minh giao dịch,Đảm bảo tính bảo mật,Tất cả đáp án trên
Cross-chain bridge giúp làm gì?,Blockchain,medium,option_1,Kết nối các mạng blockchain,Tăng tốc giao dịch,Bảo mật thông tin,Giảm phí gas
Các ví crypto thường cung cấp seed phrase để làm gì?,Blockchain,medium,option_2,Tăng tốc giao dịch,Backup tài khoản,Bảo mật khóa cá nhân,Lưu trữ token
Hard fork là gì?,Blockchain,medium,option_3,Bản nâng cấp nhỏ,Thay đổi quy tắc mạng,Tách chuỗi mới,Xóa bỏ dữ liệu cũ
Consensus algorithm nào được sử dụng bởi Bitcoin?,Blockchain,medium,option_3,Proof of Stake,Delegated Proof of Stake,Proof of Work,Practical Byzantine Fault Tolerance
Trong ERC-20 hàm “transfer” có chức năng gì?,Blockchain,medium,option_1,Chuyển token,Kiểm tra số dư,Tạo token mới,Xóa token
Zero-Knowledge Proof (ZKP) là gì?,Blockchain,medium,option_2,Một loại hợp đồng thông minh,Một kỹ thuật mã hóa,Một thuật toán đồng thuận,Một loại token
Hàm nào trong Solidity được sử dụng để thực hiện phép cộng hai số?,Blockchain,medium,option_1,add(),sum(),addNumbers(),toán tử cộng
Khi thực hiện phép toán trong hợp đồng thông minh Ethereum gas fee chủ yếu phụ thuộc vào yếu tố nào?,Blockchain,medium,option_1,Số lượng tính toán và dữ liệu lưu trữ,Số lượng người tham gia giao dịch,Loại mạng blockchain,Số lượng token chuyển giao
Chức năng chính của IPFS trong blockchain là gì?,Blockchain,medium,option_1,Lưu trữ dữ liệu phi tập trung,Tăng tốc giao dịch,Bảo mật hợp đồng thông minh,Kết nối ví tiền điện tử
Blockchain có thể đạt được cả ba yếu tố "phi tập trung"; "bảo mật"; và "mở rộng" không?,Blockchain,medium,option_2,Có,Không,Chỉ trong một số trường hợp,Chưa xác định
BIP-32 là gì?,Blockchain,medium,option_1,Một tiêu chuẩn ví đa chữ ký,Một giao thức bảo mật,Một loại token,Một cơ chế đồng thuận
Sharding trong blockchain nhằm mục đích gì?,Blockchain,medium,option_1,Phân tách mạng lưới để tăng hiệu suất,Tăng tính bảo mật,Lưu trữ dữ liệu lớn,Quản lý token
Một giao dịch trên blockchain cần có điều kiện gì để hợp lệ?,Blockchain,medium,option_1,Được mạng lưới xác minh,Không yêu cầu điều kiện nào,Chỉ cần có chữ ký của người gửi,Phụ thuộc vào thuật toán đồng thuận
Solidity có kiểu dữ liệu nào không?,Blockchain,medium,option_4,Integer,Boolean,Address,Tất cả các đáp án trên
Blockchain hoạt động dựa trên gì để đảm bảo tính bất biến?,Blockchain,medium,option_4,Thuật toán mã hóa,Thuật toán PoW,Công nghệ phân tán,Cả ba đáp án trên
ZK-Rollups có ưu điểm nào so với Optimistic Rollups?,Blockchain,hard,option_1,Không cần chờ xác thực,Phí thấp hơn,Tương thích hơn,Hỗ trợ smart contract phức tạp
Tính bảo mật của Ethereum 2.0 được cải thiện nhờ cơ chế gì?,Blockchain,hard,option_2,Sharding,Beacon Chain,BFT Consensus,Randomness
